CAT ID,PHOTO ID,NAME,GENDER,USUAL SPOT,ALSO SPOTTED IN,MAIN COLOR,SIZE,AGE,MAIN CAREGIVERS,TNR,TNR VET,TNR BY,TNR DATE,BEHAVIOUR,LAST SEEN,REMARKS
83,Victor-Cluster V,Victor,Male,Cluster V,,Tabby,Medium,Adult,,Yes,,,,Friendly,A few days ago,
84,Vivienne-Cluster V,Vivienne,Female,Cluster V,,Brown and white,Medium,Adult,,Yes,,,,Friendly,A few days ago,
85,Yin-Cluster Y,Yin,Male,Cluster Y,,White and ginger,Medium,Adult,,Yes,,,,Friendly,A few days ago,
86,Yuri-Cluster Y,Yuri,Male,Cluster Y,,Light brown,Medium,Adult,,Yes,,,,Friendly,A few days ago,
87,Ballsy-Cluster Y,Ballsy,Male,Cluster Y,,Ginger and white,Medium,Adult,Huzaifa,Yes,,,,Friendly,A few days ago,
88,Yen-Cluster Y,Yen,Male,Cluster Y,,Tabby,Medium,Adult,,Yes,,,,Friendly,A few days ago,
89,Yasmin-Cluster Y,Yasmin,Female,Cluster Y,,Three color,Medium,Adult,,Yes,,,,Friendly,A few days ago,
90,Broken tail-Cluster S,Broken tail,Male,Cluster S,,Tabby,Medium,Adult,Huzaifa,Yes,,,,Friendly,A few days ago,
91,Donnie-Cluster D,Donnie,Male,Cluster D,,Ginger and white,Small,Young,Raka,No,,,,Very friendly,A few days ago,Found with an Expo 2020 makeshift collar
92,Kiwi-Cluster K,Kiwi,Female,Cluster K,,Tabby,Small,Young,Karyn,Yes,,Karyn,5-Jul-20,Friendly,A few days ago,
93,Kimi-Cluster K,Kimi,Female,Cluster K,,Grey,Small,Young,Karyn,Yes,,DMCC,11-Aug-20,Friendly,A few days ago,
94,?-Cluster Q,?,Male,Cluster Q,,White and ginger,Small,Kitten,Fatema,No,,,,Friendly,A few days ago,
95,B&W-Cluster U,B&W,Male,Cluster U,,White and black,Medium,Adult,,Yes,,,,Friendly,A few days ago,
96,Miu Miu-Cluster X,Miu Miu,Female,Cluster X,,Three color,Medium,Adult,,Yes,,,,Very friendly,A few days ago,
97,Lena-Cluster L,Lena,Female,Cluster L,,White and brown,Small,Kitten,FOSTER HOME,No,,,,Very friendly,A few days ago,Dumped kitty
98,Minnie-Cluster A,Minnie,Female,Cluster A,,Tabby,Medium,Adult,FOSTER HOME,Yes,,,,Very friendly,A few days ago,
99,Lennox-Cluster L,Lennox,Male,Cluster L,,Tabby,Small,Young,Carina,Yes,MVC,DMCC,17-Aug-20,Friendly,A few days ago,
100,Harry-Cluster H,Harry,Male,Cluster H,,Tabby,Small,Young,,Yes,MVC,DMCC,18-Aug-20,Friendly,A few days ago,
